name,date,star,comment,comment_prep,sentiment
AgentPega 11,10 Desember 2024,1,"Untuk pihak Moonton, saya merasa dicurangi di match ranked solo karena memberikan matchmaking yang tidak layak lawan diberikan yang sudah berpengalaman bahkan ranked teratas, sedangkan saya diberi tim dengan player yang skill nya masih sekelas junior seperti saya saya sangat kecewa, terima kasih!",moonton dicurangi match ranked solo matchmaking layak lawan berpengalaman ranked teratas tim player skill nya sekelas junior kecewa terima kasih,negatif
Oxa Ar,26 November 2024,1,game ny gabener masa setiap main ketemu drak sistem udh drak sistem ga cuman 1x atau 2x jaringany juga ni tolong di perbaiki terus juga team ny juga kasih yang bener² dewasa ga egois cape ketemu tim drak sistem mulu tolong perbaiki masa setiap main ketemu tim mawi semua sedangkan musuh ny glory apa ini yang di maksud tipu daya monton? tolong perbaiki jangan cuman skin doang yang di update jaringan juga tim ny jga klo bs yang drak sistem jgn di suruh main ml nyusahin tim,game ny gabener main ketemu drak sistem udh drak sistem ga cuman 1x 2x jaringany ni tolong perbaiki team ny kasih bener² dewasa ga egois cape ketemu tim drak sistem mulu tolong perbaiki main ketemu tim mawi musuh ny glory maksud tipu daya monton tolong perbaiki cuman skin doang update jaringan tim ny jga klo bs drak sistem jgn suruh main ml nyusahin tim,negatif
Qubil FF,10 November 2024,1,"Game kaga jelas,, buat para solo player game ini sangat ga adil,slalu di kasih dark sistem, ga dark sistem sinyal yg jelek, pokonya setiap main pasti ada jalan buat kalah ,, mending kalian main HOK aja, muak gw lama lama sama game yg aneh kaya gini, dark sistem mulu yg di kasih ga jls banget ngtt",game kaga solo player game ga adil slalu kasih dark sistem ga dark sistem sinyal yg jelek pokonya main jalan kalah mending main hok aja muak gw game yg aneh kaya gini dark sistem mulu yg kasih ga jls banget ngtt,negatif
Andi Sugara,1 Desember 2024,4,"game nya udah bagus, tapi tolong perbaiki. kenapa saya harus ketemu taem random yg drack sistem mulu. jadi kalah trus main nya. 4 kali main 1 kali menang 3 kali kalah. trus selalu ketemu lawan yg kuat mulu gak sesuai rank tolong moontonn...... capek saya kalah mulu padahal main udah serius....... ketemu team begooooo trusssss",game nya udah bagus tolong perbaiki ketemu taem random yg drack sistem mulu kalah trus main nya 4 kali main 1 kali menang 3 kali kalah trus ketemu lawan yg kuat mulu gak sesuai rank tolong moontonn ...... capek kalah mulu main udah serius ....... ketemu team begooooo trusssss,negatif
Kampret 10,14 November 2024,1,"sekarang sering crash dan lag parah, padahal hp saya tidak kentang2 amat infinix gt 10 pro, sinyal pake wifi masak setiap Teamfight hp serasa mesin pencukur, padahal game2 berat lainnya gak kaya gini, game sebelah aja stabil",crash lag parah hp kentang2 infinix gt 10 pro sinyal pake wifi masak teamfight hp serasa mesin pencukur game2 berat gak kaya gini game sebelah aja stabil,negatif
Hafiztya Saputra,29 November 2024,1,"selalu dapat tim drak sistem, musuh spek mcl. tolong di perbaiki sistem nya kalo main itu kasih musuh yang seimbang dan tim yang seimbang jangan drak sistem terus montonnnnn, game sampah, sistem cacat",tim drak sistem musuh spek mcl tolong perbaiki sistem nya kalo main kasih musuh seimbang tim seimbang drak sistem montonnnnn game sampah sistem cacat,negatif
Ferdinan Markos,8 November 2024,4,"udh beberapa reset season ini ntah knp sulit sekali, buat main padahal tim udh bagus tapi seperti knk dark sistem trs, gk pernah bagus, udh mau menang tiba'' kalah, yg terkadang tim nya tidak seimbang, trkadang musuh terllu kuat, tolong lah kasih yg seimbang gtu antara tim sama musuh biar enk sama'' war nya",udh reset season ntah knp sulit main tim udh bagus knk dark sistem trs gk bagus udh menang kalah yg terkadang tim nya seimbang trkadang musuh terllu kuat tolong kasih yg seimbang gtu tim musuh biar enk war nya,negatif
Hafizul Arjunaa,7 Januari 2025,1,"game bikin stres sih , penyesuaian tim nya gajelas banget buat player solo , ketemunya player duo/trio Mulu itupun musuhnya jago ( rank tinggi ) , sedangkan tim kita malah dikasih buruk buruk seperti rank rendah ( bisa di sebut dark sistem ) mau main dari pagi Ampe sore kalo ketemu tim nya gajelas juga gaada manfaatnya , kita main game kan cari win bukan cari kalah.",game bikin stres sih penyesuaian tim nya gajelas banget player solo ketemunya player duo trio mulu itupun musuhnya jago rank tim dikasih buruk buruk rank rendah dark sistem main pagi ampe sore kalo ketemu tim nya gajelas gaada manfaatnya main game cari win cari kalah,negatif
Xcyln Lui,13 Januari 2025,1,Sibgst gak ada perubahan sama sekali dari kemarin keluhan nya masih sama musuh gak sepadan sama tim yg di satuin agak tolol ni gak jaya2 ni game lu burik kesini2 makin burik kek ajggg minim ngasih tim yang bener kek jangan ngasih yang guobloug di satuin semua terus juga musuh nya jangan yang spek nya global2 goblokkk luu apaan coba sistem kaya gitu? Gak rame2 tu game lu sumpah tambahan ya njing ini habis di update bukan nya membaik kok nambah nge frame ya ini lu lagi nunjukin lu mau bangkrut kh?,sibgst gak perubahan kemarin keluhan nya musuh gak sepadan tim yg satuin tolol ni gak jaya2 ni game lu burik kesini2 burik kek ajggg minim ngasih tim bener kek ngasih guobloug satuin musuh nya spek nya global2 goblokkk luu coba sistem kaya gitu gak rame2 tu game lu sumpah tambahan ya njing habis update nya membaik nambah nge frame ya lu nunjukin lu bangkrut kh,negatif
Gabriel Sondakh,12 Desember 2024,3,Tolong diperbaiki yah kadang kadang gua main jaringan ping udah naik lagi dan saya gk paling suka dari game ini ping dan grafik nya saya dulu emang suka main tapi saya udah malas sama ml ini buat saya kesal tapi gpp lah semoga udah di perbaiki yah terimakasi 🙏,tolong diperbaiki yah kadang kadang gua main jaringan ping udah gk suka game ping grafik nya emang suka main udah malas ml kesal gpp semoga udah perbaiki yah terimakasi,negatif
Muhammad Addin Athar Wahab,10 Desember 2024,1,"Lagi rank tbtb ping merah, padahal sinyal bagus bgt, relog gabisa masuk, stuck di loading screen mlu, udh hapus data ttp gabisa, solusi moonton, sayang bgt ada WDP 1 bulan blm diklaim 😅",rank tbtb ping merah sinyal bagus bgt relog gabisa masuk stuck loading screen mlu udh hapus data ttp gabisa solusi moonton sayang bgt wdp 1 blm diklaim,positif
Arga Kenza,5 Desember 2024,5,kebanyakan dragk sistem game gak jelas Iya sih walaupun ada dargk sistem tapi sekarang kayak nya dragk sistem nya dikurangin masak dari epik turun karena tim maksain ke lane orang makanya aku bilang gitu sudah itu saja tapi awal nya kena dari sistem naik lagi mantap monoton game nya asik banyak event yang menarik dan ada skin gratis bagus lah aku sudah dapat fany ligtbord dari event dm kuning mantap banget event nya ya walaupun aku gak berharap banyak tapi mohon agak dikurangi tim yang troll nya,kebanyakan dragk sistem game gak iya sih dargk sistem kayak nya dragk sistem nya dikurangin masak epik turun tim maksain lane orang bilang gitu nya kena sistem mantap monoton game nya asik event menarik skin gratis bagus fany ligtbord event dm kuning mantap banget event nya ya gak berharap mohon dikurangi tim troll nya,positif
Krisna Alamsah,27 November 2024,2,"akhir² ini sering ngelag gajelas,banyak orang² main sering ngelag di kira masalah sinyal tapi pas di cek sinyal bagus,ada apa moonton please di update lagi masalah jaringan!!",akhir² ngelag gajelas orang² main ngelag sinyal pas cek sinyal bagus moonton please update jaringan,negatif
ridwan siregar,19 November 2024,1,"Percuma banyak event,tapi team didalam rank diperbaiki lagi montoon dartidak memuaskank sistemmu itu hilangkan masak ia dari bintang 35 bisa²nya trus dibintangi 29 ini sih parah banget Gk beguna juga event tapi naikkan bintang aja dipersulit dan menghabiskan waktu serta baterai",event team didalam rank diperbaiki montoon dartidak memuaskank sistemmu hilangkan masak bintang 35 bisa²nya trus dibintangi 29 sih parah banget gk beguna event naikkan bintang aja dipersulit menghabiskan baterai,negatif
Cllay Ollie na,1 Desember 2024,3,padahal biasanya oke oke aja tapi akhir akhir ini login terus waktu pemilihan hero tiba tiba blenk terus keluar sendiri moonton perbaiki dong klo gini nanti ke deteksi afk kredit skor nurun mulu gara gara keluar masuk game,oke oke aja login pemilihan hero blenk moonton perbaiki klo gini deteksi afk kredit skor nurun mulu gara gara masuk game,negatif
Muhammad Nur adnan,22 November 2024,3,"Kacau amat nih gamenya, ini bug atau apakah?ini tidak seperti biasanya. Setiap kali main rank selalu saja pro terus lawannya dan baru baru ini aku sudah kehilangan kurang lebih 10 bintang di rank. Perhatikan sistemnya yang kacau ini dong dan mohon diperbaiki, mungkin bukan aku saja yang begini,pemain lainnya pun akan ikutan kena dan bisa saja melaporkan masalah ini jika sampai sudah sekacau begini sistemnya.aku sudah kesal amat kehilangan 10 bintangku dari pada kemarin😭😭😭😭😭👎👎👎👎👎",kacau nih gamenya bug kali main rank pro lawannya kehilangan 10 bintang rank perhatikan sistemnya kacau mohon diperbaiki pemain ikutan kena melaporkan sekacau sistemnya.aku kesal kehilangan 10 bintangku kemarin,negatif
PEDRO WILLIAM FRITZ MOA BURA / 23117062,4 Desember 2024,4,"Settingan FPS harus di optimalkan lagi, soalnya device samsung yg sy gunakan suport 90hz tapi sangat di sayang kan tidak muncul di pengaturan, game play jadi tdk maksimal.",settingan fps optimalkan device samsung yg sy suport 90hz sayang muncul pengaturan game play tdk maksimal,netral
Suna Iroh,18 Desember 2024,1,"masa gw di ksi musuh yg kg ngotak, menang sekali kalah 10 kali, kan anj bgt, dari tadi gw maen kg ad yg menang sama sekali, udh malah di kasih tim dark sistem, mm nya ada 2 lah g ad jungle, aneh².cape bgt mending gw maen game HOK cape soalnya ama monton di kasih lose track bae najis",gw ksi musuh yg kg ngotak menang kalah 10 kali anj bgt gw maen kg ad yg menang udh kasih tim dark sistem mm nya 2 g ad jungle aneh².cape bgt mending gw maen game hok cape ama monton kasih lose track bae najis,negatif
Kagura Chan,7 Desember 2024,2,Untuk Players solo Kenapa saya selalu di beri tim yang aneh egois dan banyak omong skil kosong membuat saya lostrek secara terus-menerus Itu sangat tidak Bagus untuk mental saya. Saya putuskan untuk meng uninstall game ini karena membuat saya setres.,players solo tim aneh egois omong skil kosong lostrek menerus bagus mental putuskan meng uninstall game setres,negatif
m.bilal. dzaky,22 November 2024,2,Game nya bagus tapi mohon hilangkan dark system dan 2. Knp saat sinyal saya hijau analognya ngga bisa di gerakin wifinya ngleg banget Wifinya masih hijau ngga bisa apa apa,game nya bagus mohon hilangkan dark system 2. knp sinyal hijau analognya ngga gerakin wifinya ngleg banget wifinya hijau ngga,negatif
Alvin Asadilah,13 November 2024,1,Aplikasi sangat tidak bermanfaat. Saya bermain selalu dikasih tim ampas. Tolong developer montod kasih match yang adil dan seimbang. Sangat tidak disarankan untuk pemula kalian akan setres saran gua mending jangan install. Demi kenyamanan hati dan keamanan mental. Saya player solo selalu dikasih tim yang kurang Berpengalaman. Saya ingin uninstall app ini cuman saya sayang sama akun sudah menemani 4 tahun.,aplikasi bermanfaat bermain dikasih tim ampas tolong developer montod kasih match adil seimbang disarankan pemula setres saran gua mending install kenyamanan hati keamanan mental player solo dikasih tim berpengalaman uninstall app cuman sayang akun menemani 4,netral
Irfan Masulu,29 November 2024,2,"Moonton nggak jelas banget,, gue susah2 nyari menang eh malah dapat tim GK jelas banget mana lagi tim musuh malah jago setara dgn mitik honor ke atas,, nggak masuk akal. Alias enggak seimbang mainnya.. gue kecewa banget,, moonton gitu2 Mulu nggak ada perkembangan & perbaikannya malah nambah parah gamenya.",moonton nggak banget gue susah2 nyari menang eh tim gk banget tim musuh jago setara dgn mitik honor nggak masuk akal alias seimbang mainnya .. gue kecewa banget moonton gitu2 mulu nggak perkembangan perbaikannya nambah parah gamenya,negatif
Dika Anggara,26 November 2024,2,"Mohon fitur role dirilis cepat, saya capek ketemu dark sistem sok Sokan pake role saya, direbut padahal saya duluan dan mainnya kayak Dark sistem, lalu kalau tim itu seimbang lah sama musuh, tim saya kurang bagus main tapi tim lain jago jago, terus masalah jaringan udah biasa emang spesialis jaringan burik ada di mobile legends, mungkin itu aja ya moga aja di baca dan langsung di-update, terima kasih....",mohon fitur role dirilis cepat capek ketemu dark sistem sok sokan pake role direbut duluan mainnya kayak dark sistem tim seimbang musuh tim bagus main tim jago jago jaringan udah emang spesialis jaringan burik mobile legends aja ya moga aja baca langsung update terima kasih ....,negatif
Warsidi I,23 November 2024,1,Mobil legend adalah game dengan sistem paling buruk masa kita main di beri musuh yg jago sementara di sisi kita tim itu rata rata gak bisa main jadi tolong lah nonton kasih sistem yg adil supaya kita gak emosi saaat main mobil ejen masa dah dari dulu masih aja gak bisa merubah sistem ni game si satu kata buat monton lawakkkkk,mobil legend game sistem buruk main musuh yg jago sisi tim gak main tolong nonton kasih sistem yg adil gak emosi saaat main mobil ejen dah aja gak merubah sistem ni game si monton lawakkkkk,negatif
Novita Maduwu,10 Desember 2024,4,"Alasan gw kasih bintang empat karena game ini tuh ngeselin banget 😅,soalnya selalu aja ketemu musuh yang kuat² :( dan juga suka terjadi bug :/pls deh moonton tolong ubah lagi gamenya menjadi lebih baik dan adil :) capek setiap hari lose strak Mulu sampai hasil pertandingan jadi full coklat/silver😖, tapi walau sering lose streak Mulu aku tetap suka SMA game nya karena menurut ku seru aja bisa menghibur apa lagi kalau menang terus mvp..tolong ya.. perbarui game ini lebih bagus lagi :D",alasan gw kasih bintang game tuh ngeselin banget aja ketemu musuh kuat² suka bug pls deh moonton tolong ubah gamenya adil capek lose strak mulu hasil pertandingan full coklat silver lose streak mulu suka sma game nya ku seru aja menghibur menang mvp .. tolong ya .. perbarui game bagus d,negatif
Falhan Hidayat,25 November 2024,4,Sebenarnya apk nya bagus tapi ada bug main brwl gk bisa VSI gk bisa arcade gk bisa bisa nya rank ama clasic doang dan kalo di pencet VSI brwl arcade ada tulisan level ini 50 tidak bisa main harus level 0 gimana tu min ya udah karna saya baik walau ada bug aku kasih bintang 4 tapi perbaiki yaa min,apk nya bagus bug main brwl gk vsi gk arcade gk nya rank ama clasic doang kalo pencet vsi brwl arcade tulisan level 50 main level 0 gimana tu min ya udah karna bug kasih bintang 4 perbaiki yaa min,negatif
Abdul Jabar,10 Desember 2024,5,"Game nya bagus cuma pengalaman saya tadi malam bermain kurang memuaskan, karena adanya bug berupa delay dari skil hero, mohon diperbaiki ini sangat meresahkan sekali, saya tidak bisa mencet retri saat kontes kusabab delay, Player lawan juga merasakan hal yang sama, mohon untuk di perbaiki bug/cheater delay ini🙏sekian dari saya gamenya sudah bagus cuma perlu di perbaiki bagian delay nya saja, ada yang bilang itu servernya sedang error makanya delay.",game nya bagus pengalaman malam bermain memuaskan bug delay skil hero mohon diperbaiki meresahkan mencet retri kontes kusabab delay player lawan merasakan mohon perbaiki bug cheater delay inisekian gamenya bagus perbaiki delay nya bilang servernya error delay,negatif
Alaric Arham Shalih,18 Desember 2024,5,game nya seru sih karena menantang gitu dan ada kendala yang harus di imbanging 1. Aku tuh pengen musuh nya itu gampang jadi player itu gak kesusahan buat main nya. Ok cuma itu ulasan nya terimakasih,game nya seru sih menantang gitu kendala imbanging 1. tuh pengen musuh nya gampang player gak kesusahan main nya ok ulasan nya terimakasih,positif
Abimael Siburian,28 November 2024,1,"Monton kalo bisa bintang 0,5 gua buat !!! . Kenapa gak bisa mode classic dan rank padahal sudah banyak kredit skor. Mending pindah ke HOK sekin gratis, Hero bisa semua. Kecewa aku donlod ml berat"" hasilnya mengecewakan 😡😡😡😡😡😡😡",monton kalo bintang 0 5 gua gak mode classic rank kredit skor mending pindah hok sekin gratis hero kecewa donlod ml berat hasilnya mengecewakan,negatif
lintar ebew,13 Desember 2024,1,"moonton tolong perbaiki sistem lose streak nyaa dong, iyaa kami tau kalau sistem itu bertujuan biar pemain nyaa bermain terus sampai menang,tapi kan gaa sampe full lose streak juga history kuu🥲🥲🥲,mohon moonton sistem ini mungkin bisa diperbaiki atau lebih di perhatikan lagi biar pemain nyaa gaa malas' gimana gitu waktu pas mau main atuh🙏🏻🙏🏻🙏🏻",moonton tolong perbaiki sistem lose streak nyaa iyaa tau sistem bertujuan biar pemain nyaa bermain menang gaa sampe full lose streak history kuu mohon moonton sistem diperbaiki perhatikan biar pemain nyaa gaa malas gimana gitu pas main atuh,negatif
Ahmad Miftahudin,21 November 2024,2,Sekarang jelek saya sudah melakukan laporan masalah udah berkali-kali Sinyal full Tapi ngelag parah tapi gak ada perubahan.. padahal hp gw ram 16 Kalo menurut ku Mending honor of king deh peforma jaringan nggak ada yang namanya nge-lag atau apalah,jelek laporan udah berkali kali sinyal full ngelag parah gak perubahan .. hp gw ram 16 kalo ku mending honor of king deh peforma jaringan nggak namanya nge lag apalah,negatif
Lubena Nazla,16 Desember 2024,1,"Apaan dah setiap hari nemu tim gak pande main,terus musuh nya pro,apaan kali nya montoon ini,aku kasih bintang 1 karna game nya ini tim nya sangat tidak berguna Saya ingin mencari tim yang benar"" ingin bermain dengan benar, saya sudah lama main ml tetapi saya tidak pernah naik ke glory,game ini sangat membuat saya stress.game itu untuk menghilangkan stress,tetapi mengapa game ini malah menambah stress saya?,dengar ya MONTOON player solo itu capek nemuin tim yang dark sistem nya banyak!.",dah nemu tim gak pande main musuh nya pro kali nya montoon kasih bintang 1 karna game nya tim nya berguna mencari tim bermain main ml glory game stress.game menghilangkan stress game menambah stress dengar ya montoon player solo capek nemuin tim dark sistem nya,positif
Rasy Zyuryy,9 Desember 2024,1,"WOI ini bug sinyal gapernah di fix apa? Sumpah males banget gw main blood strike lancar banget, giliran gw bosen pindah ke game ni ngelag mulu sinyal padahal ijo heran banget dah, gimana sih males banget mainnya.",woi bug sinyal gapernah fix sumpah males banget gw main blood strike lancar banget giliran gw bosen pindah game ni ngelag mulu sinyal ijo heran banget dah gimana sih males banget mainnya,negatif
AgamFirmansyah,21 November 2024,2,"Tolong perbaiki matchmaking nya,selalu dapet tim tolol GK bisa main,GK bisa liat map,GK paham item,GK tau counter musuh,main asal asalan Sedangkan musuh selalu lebih kuat daripada tim sendiri,perbaiki ya matchmaking tolol nya",tolong perbaiki matchmaking nya dapet tim tolol gk main gk liat map gk paham item gk tau counter musuh main asalan musuh kuat tim perbaiki ya matchmaking tolol nya,negatif
Aam Sandram,25 November 2024,2,"Keseimbangan hero harus sama keras nya, baik di roll mana pun..agar semua hero bisa dimainkan di setiap game klasik. rink, dan lain nya. Setiap komentar player, cobak di gubris moonton.. jangan drack, losh, terus, sinyal, dan segala macam.. lantas player omong kasar lu mute, dan sebagai nya.. ml ini game hebat, tapi sistem nya kurang hebat.. jangan diamond aja yg dijual, skin dan sebagi nya.. perhatikan keluhan player.. paham ga...!!!!",keseimbangan hero keras nya roll .. hero dimainkan game klasik rink nya komentar player cobak gubris moonton .. drack losh sinyal .. lantas player omong kasar lu mute nya .. ml game hebat sistem nya hebat .. diamond aja yg dijual skin sebagi nya .. perhatikan keluhan player .. paham ga ...,negatif
Rully Prasetya,27 November 2024,1,"Pengalaman game matching paling buruk.....settingan troll ga ada obat...yg blm download mending ga usah aja .,.recomend game lain sih.....nyesel doank..,lag njir ga jelas bgt sih. Top up diamond seperti penipuan...ga bakalan dapat skin. Banyak yg pake mod cheat jadi ga seru...kalo mau main mending pake cheat. Tambah lagi kok bisa 1 tim mage murni ada 2 player apa system troll?",pengalaman game matching buruk ..... settingan troll ga obat ... yg blm download mending ga aja .recomend game sih ..... nyesel doank .. lag njir ga bgt sih top up diamond penipuan ... ga skin yg pake mod cheat ga seru ... kalo main mending pake cheat 1 tim mage murni 2 player system troll,negatif
Ilhamstore Ilhamstore,14 November 2024,1,Game keren dan bagus tapi 1 kendala timny di kasih yang bot terus...padahal udah menang di awal bisa¹nya ke combeck dari legend 2*4 turun ke legend3*5 tolong optimalkan musuh dan tim yang sama¹ bisa main,game keren bagus 1 kendala timny kasih bot ... udah menang bisa¹nya combeck legend 2 4 turun legend3 5 tolong optimalkan musuh tim sama¹ main,netral
karis,13 November 2024,1,"kecewa bgt asli, aku punya card starlight biasa sama card starlight premium, pertama aku buka starlight pake card yang biasa trus aku mau upgrade ke premium, aku pake lah itu card premiumnya, tapi ga ada perubahan, aku juga ga dapat semua fitur starlight premiumnya. sedih sih asli, dikira beli card premium pake daun kali ya, tolong di benerin dong kalo error, whats wrong with ur game montoon??? sehat sehat ya kalian semua, love u 🙃",kecewa bgt asli card starlight card starlight premium buka starlight pake card trus upgrade premium pake card premiumnya ga perubahan ga fitur starlight premiumnya sedih sih asli beli card premium pake daun kali ya tolong benerin kalo error whats wrong with ur game montoon sehat sehat ya love u,negatif
Daus,12 November 2024,1,"Saya kecewa dengan game ini, ku kira setelah update akan menjadi lebih baik tapi ternyata malah sebaliknya, selalu dapat team yang buruk dan musuh yang sangat kuat sekali, game ini hanya menguras harta orang lain hanya demi event gak jelas, tidak memandang kondisi seseorang",kecewa game ku update team buruk musuh kuat game menguras harta orang event gak memandang kondisi,negatif
Komang Wirajaya Putra,29 November 2024,1,"1 bulan ini main terus stuck, tidak ada perubahan. Sorry saya akan hapus gamr ini. Padahalsaya termasuk salah satu yg loyal beli diamond, tapi game playnya selalu dapat team yg buruk. SHAME ON YOU MLBB!",1 main stuck perubahan sorry hapus gamr padahalsaya salah yg loyal beli diamond game playnya team yg buruk shame on you mlbb,negatif
Luh Arini,6 Desember 2024,3,"tolong jika menemukan match yg cocok sedikit lama, saya tidak apa"" menunggu lama daripada saya harus se tim dengan computer, yg jelas ketika saya cek profile akun tersebut sudah tidak aktif lama, dan juga untuk player solo yg sering bertemu dengan rank yg sangat jauh dri rank kita",tolong menemukan match yg cocok menunggu tim computer yg cek profile akun aktif player solo yg bertemu rank yg dri rank,netral
Nasrullah Accu,17 November 2024,4,"Ada apa dengan game, saya setiap main lag trus padahal sinyal ok??? Tolong lah saya main game ini buat heppy tapi ini malah kebalikannya huff... Aku bagi bintang 4 dulu klau game saya sudah stabil ntar saya kasih bintang 5...moonton tolong lah perbaiki masalah koneksi game ini🙏🙏😌",game main lag trus sinyal ok tolong main game heppy kebalikannya huff ... bintang 4 klau game stabil ntar kasih bintang 5 ... moonton tolong perbaiki koneksi game,negatif
badyy badyyuu,25 November 2024,3,"ini game ny cukup keren dan banyak fitur' menarik,cuman kendala di game ini adalah player ny yg egois dan pembagian player yg tidak adil, padahal kita sudah berusaha keras untuk menang tapi team kita ngtroll atau g niat main. ini tolong di adakan fitur pengurangan kredit skir yg cukup banyak untuk player yg gak niat main. klo begini cara nya bagaimana game ini mau berkembang. #light sistem",game ny keren fitur menarik cuman kendala game player ny yg egois pembagian player yg adil berusaha keras menang team ngtroll g niat main tolong adakan fitur pengurangan kredit skir yg player yg gak niat main klo nya game berkembang light sistem,negatif
Agil Siva,21 November 2024,1,"Game rate tertinggi tapi terlalu bnyak upaya ke skin lah animasi lah,,, tapi di In game bnyak yg ngeluh ping gk stabil,,, dri dlu gk ada perbaikan buat kesitu kah,,,molor terus manajemen nya nih,,,",game rate tertinggi bnyak upaya skin animasi in game bnyak yg ngeluh ping gk stabil dri dlu gk perbaikan kesitu kah molor manajemen nya nih,negatif
Dwi Sulistyowarni,6 Desember 2024,5,"Mantappp devv, utk season berikut ny kasih event² yang menarik agar banyak yng download ni game, cuma yang bermasalah itu pada jaringan sering skali pas main/match lag lag gitu padahal jaringan udh bagus total.",mantappp devv utk season ny kasih event² menarik yng download ni game bermasalah jaringan skali pas main match lag lag gitu jaringan udh bagus total,positif
Achmad Ajid,13 Desember 2024,1,"System GAME aneh, selalu aja dapat tim bocah gimana sih moontod, seharusnya bisa lah system ngefilter Player yg bermain ditemuin dengan player lain yg track record play.nya sepadan bukannya dikasih anak ingusan yg baru belajar ahdeh.",system game aneh aja tim bocah gimana sih moontod system ngefilter player yg bermain ditemuin player yg track record play.nya sepadan dikasih anak ingusan yg belajar ahdeh,negatif
Muhammad Nadhir Ajri,10 Desember 2024,5,"Game ini sangat aneh,banyak dark system' nya jadi lose streak,jadi moonton permudlah game ini karena banyak orang yg berita kasar dan tidak melihat map tapi yg saya bingung kenapa musuhnya op op",game aneh dark system nya lose streak moonton permudlah game orang yg berita kasar map yg bingung musuhnya op op,negatif
Tart Magas,10 November 2024,1,"Saya sangat kecewa sama monoton padahal sinyal Wifi saya bagus, tapi pas di in game malah jadi merah dan sehabis saya maen dan kalah tidak mendapatkan star Protection padahal seharusnya kalau sinyal lag kita dapat, sedangkan saya tidak mendapatkan Saya harap monoton memperbaiki bug sinyal merah pas di in game Terima kasih🙏",kecewa monoton sinyal wifi bagus pas in game merah sehabis maen kalah star protection sinyal lag harap monoton memperbaiki bug sinyal merah pas in game terima kasih,negatif
Pengguna Google,8 Desember 2024,1,"Game apaan gw cape push seharian demi honor, tapi nyatanya dikasih tim dark sistem mulu, (ga bisa main), gimana mau ga cape hati perbaiki lah montoon, udah banyak keluhan tentang dark sistem, tapi masih belum juga di ilangin, kasian yang udah beberapa bulan, minggu, tahun yang kena dark sistem, kasih lah player yang bisa main, yang ga beban, kami cape, perbaiki ya montoon",game gw cape push seharian honor dikasih tim dark sistem mulu ga main gimana ga cape hati perbaiki montoon udah keluhan dark sistem ilangin kasian udah minggu kena dark sistem kasih player main ga beban cape perbaiki ya montoon,negatif
dhio bagus dharmawan,10 November 2024,1,"Dark system dimana2, baru win streak dikit eh langsung dah tuh dark system nya mulai, kalau satukali duakali sih ok, tapi berkali-kali konntl. Belajar lah dari system tetangga sebelah, pas skin aja ngegas copy-nya, tapi fitur lain?? Udah season baru masih sama aja, match making masih sampah, tim gajelas, solo dikasih lawan tim. Emang ga niat benerin tu sistem Pantes co temen2 pada pindah ke sebelah",dark system dimana2 win streak dikit eh langsung dah tuh dark system nya satukali duakali sih ok berkali kali konntl belajar system tetangga sebelah pas skin aja ngegas copy nya fitur udah season aja match making sampah tim gajelas solo dikasih lawan tim emang ga niat benerin tu sistem pantes co temen2 pindah sebelah,negatif
Mahesa Group,26 November 2024,1,"Najis gua asli sama game ini, gua udah main semaksimal mungkin tapi musuhnya kek imortal, tim gua kek ayam, tolonglah moonton ngertiin perasaan player. Kalo kalah terus cuma ngabisin kuota, sementara saya kasih bintang 1,kalo belum dikasih menang bintang 1 untuk selamanya",najis gua asli game gua udah main semaksimal musuhnya kek imortal tim gua kek ayam tolonglah moonton ngertiin perasaan player kalo kalah ngabisin kuota kasih bintang 1 kalo dikasih menang bintang 1,negatif
buku gambar,25 November 2024,4,"montoon, tolong perbaiki untuk masalah skin hero, yang dimana harus ada heronya dulu baru bisa dipakai skinnya. contoh, gw ada skin epic Cyclops dan jonson, tapi ga bisa dipakai karena ga ada heronya. menurut gw ini masalah sih, masa udah ada skinnya tapi g bisa dipake cuma karna ga ada heronya kan aneh. tolong diperbaiki ya montoon thank you🤗.",montoon tolong perbaiki skin hero dimana heronya dipakai skinnya contoh gw skin epic cyclops jonson ga dipakai ga heronya gw sih udah skinnya g dipake karna ga heronya aneh tolong diperbaiki ya montoon thank you,negatif
Bachira Meguru,12 November 2024,3,"kadang pas mau main ranked atau classic, matching nya itu lamaa bgtt, kadang ampe nunggu 2 menit lebih, trus juga pas di in game lag bgt, padahal wifi nya lancar aja, ga jelek jaringannya",kadang pas main ranked classic matching nya lamaa bgtt kadang ampe nunggu 2 menit trus pas in game lag bgt wifi nya lancar aja ga jelek jaringannya,positif
Kyy Zye,5 Desember 2024,3,"kepada sistem yang terhormat, dimohon perbaiki tim dan sesuai kan rank musuh agar bermain lebih fleksibel, bukan skin yang dibanyakin, tapi sistem",sistem terhormat dimohon perbaiki tim sesuai rank musuh bermain fleksibel skin dibanyakin sistem,netral
Mo Rugi,16 November 2024,1,"Baru lama gak main baru main dua kali kok dikasih nya........ Player trol, player ngambil buff jungler, ga ada bantu turtle, gak ada bantu lord, plis lah baru gak main beberapa Minggu baru balik kok dikasih yg beginian kalau ini terulang aku sangat-sangat kecewa",gak main main kali dikasih nya ........ player trol player ngambil buff jungler ga bantu turtle gak bantu lord plis gak main minggu dikasih yg terulang kecewa,negatif
