name,date,star,comment,comment_prep
Boges Alfarizkey,8 November 2024,1,game ga ngotak yg baru download di satuin sma yg udah lama tolong lah perbaiki cape gw di satuin sma yg jauh level nya tp musuh nya pada GG ga ngotak emang game nya burik,game ngotak download satuin sma udah tolong perbaiki cape gw satuin sma level tp musuh gg ngotak emang game burik
Erfan Kurniawan,21 November 2024,1,Selagi lw sering topup diamond pasti maen di rank di kasi musuh yg enteng2. Kliatan game ini setingan.pasti kalo maen rank ada aja yg jadi temen maen afk 2 smp 3 ekor..wkwkw .kocak ini game sekarang,selagi lw topup diamond maen rank kasi musuh enteng2 kliatan game setingan.pasti kalo maen rank temen maen afk 2 smp 3 ekor .. wkwkw .kocak game
Riski Setiawan,23 September 2024,1,"Setiap main dapet timnya gj semua padahal udh duo and trio tetep aja pasti sisanya brengsek semua, tolong kalau setiap main dikasih timnya yang jago di rolenya masing masing jangan sampai ada yang tabrakan kalo gitu gamenya jadi susah karena tidak ada chemistry. Oke segitu aja kayaknya, ini saya kasih bintang 1 karena itu tapi ntar kalo udh bener saya kasih bintang 5.",main dapet timnya gj udh duo and trio tetep sisanya brengsek tolong main dikasih timnya jago rolenya tabrakan kalo gitu gamenya susah chemistry oke segitu kayaknya bintang 1 ntar kalo udh bener bintang 5
Mahendra Jaya,7 November 2024,1,"Tolong kembalikan kesemula, layar game terlalu full sehingga menu sebelah kiri tidak kelihatan karena tertutup kamera depan 🙏🏻",tolong kembalikan kesemula layar game full menu sebelah kiri tertutup kamera
Halo my name is Abi,8 November 2024,4,Bagus bisa main sama teman atau keluarga hero nya gampang di mainin ada banyak hero ficter mage supotr markman tank assassin hero nya banyak yang di revamp bagus pokoknya tapi harus top diamond yang aku tidak suka di kasik derad sistem sama moonton player global dan di kasik teman ngetrol Aduh ini gara gara aku ngasih bintang 4 terimakasih,bagus main teman keluarga hero gampang mainin hero ficter mage supotr markman tank assassin hero revamp bagus pokoknya top diamond suka kasik derad sistem moonton player global kasik teman ngetrol aduh gara gara ngasih bintang 4 terimakasih
rizal alfani,20 November 2024,1,"Bukan makin kompetitif tapi makin gajelas game nya, dikasih tim gajelas mulu saat bermain solo, beda banget sama tim lawan yang skill nya merata semua, di tambah lagi ketemu tim yang suka troll gajelas gatau penyebabnya, di tambah lagi event 11.11 Nolan yang dimana udah top up diamond tapi ga dapet hadiah tiket buat nyepin padahal event sudah berakhir, makin kesini makin gajelas kinerja ini game. Kalau tidak di perbaiki lagi sistemnya gatau lagi dah kedepannya. Semoga dapat di perbaiki lagi.",kompetitif gajelas game dikasih tim gajelas mulu bermain solo beda banget tim lawan skill merata ketemu tim suka troll gajelas gatau penyebabnya event 11.11 nolan dimana udah top up diamond dapet hadiah tiket nyepin event kesini gajelas kinerja game perbaiki sistemnya gatau dah kedepannya semoga perbaiki
riski hidayat,8 Desember 2024,1,"banyak dark sistem malah di kasih tim pake Khaled roam lagi aduh monton kalau gitu semuanya jadi males main ml dasar ml gak bisa SE baik kaya hero nya orangnya kaya gak bisa buat game ang ang ang ,😂😂😂😂😝",dark sistem tim pake khaled roam aduh monton gitu males main dasar kaya hero orangnya kaya game ang ang ang
Rein Darbi,23 Agustus 2024,3,"kelarena selama pengalaman saya, permainan ini tidak pernah memuaskan, Masalah utama selalu pada jaringan, padahal jarungan saya bagus tapi selalu leg bug dan patah2 saat bergerak ataupun war. Tolonglah diperbaiki, meresahkan skali.",kelarena pengalaman permainan memuaskan utama jaringan jarungan bagus leg bug patah2 bergerak war tolonglah diperbaiki meresahkan skali
Rifqi annaafi Hibadul azizi,5 November 2024,1,Terlalu banyak bot masa iya dapet tim bot terus kalo maen sedangkan musuhnya player semua bayangin tier udah maytik tapi skin 0 apa itu ngak sama aja kayak drak sistem tiap maen tim nya ada aja kek gtu ngak pernah menang sampe lose strike 20x apa ngak pusing kalo game nya lama2 kayak gtu pasti banyak yang pensi Tolong perbaiki matchmaking nya yang adil jangan di kasih bot Mulu,bot iya dapet tim bot kalo maen musuhnya player bayangin tier udah maytik skin 0 ngak kayak drak sistem maen tim kek gtu ngak menang sampe lose strike 20x ngak pusing kalo game lama2 kayak gtu pensi tolong perbaiki matchmaking adil bot mulu
Alvin The bastian,14 November 2024,1,"Makin ga jelas sistem nya, masa tier tim Ama musuh ga sesuai, tier tim gua legends, tim musuh mytic glory semua, kam mmk, dasar sistem kntlllllll, muka bapak lu ke kuda abis nyemplung di kali",sistem tier tim ama musuh sesuai tier tim gua tim musuh mytic glory kam mmk dasar sistem kntlllllll muka lu kuda abis nyemplung kali
Marisa Tul,28 November 2024,1,Moonton game yang tidak bagus dan jelek hasil daripada semua yang diberikan tidak memuaskan terutama untuk main rank kenapa tim nya jauh lebih unggul daripada tim saya?,moonton game bagus jelek hasil memuaskan main rank tim unggul tim
A-Z,18 November 2024,1,"Napa ya pas maen rank classic brawl pasti ketemu musuh jago pas setelah match berakhir, gw liat rank player lain,ngeliat rank musuh rata rata mythic semua,lah ini tim gw epik empat player epic semua, ada lagi nih semua player pasti ngerasain , bintang full harusnya naik ini malah nurun , lu gw siksa juga sekalian maen solo lawan 9 player ya, benerin matchmaking kasih lawan yg sepadan rank nya, role nya , udah itu doang moonton , player bakal seneng kalo lu ga egois, MENDING MAEN GAME SEBELAH",napa pas maen rank classic brawl ketemu musuh jago pas match gw liat rank player ngeliat rank musuh mythic tim gw epik player epic nih player ngerasain bintang full nurun lu gw siksa maen solo lawan 9 player benerin matchmaking lawan sepadan rank role udah doang moonton player seneng kalo lu egois mending maen game sebelah
Inaya Ji,6 Desember 2024,4,"Permainannya bnyak manipulatif dari moontodd, setidaknya bandingkan mana pemain epik sma pro epik, klo dak di dark sistemin mna bisa kita naik, pokoknya bnyak probabilitas dari moontodd nya sendiri sihh",permainannya bnyak manipulatif moontodd bandingkan pemain epik sma pro epik klo dak dark sistemin mna pokoknya bnyak probabilitas moontodd sihh
Raditya Asna55,18 Desember 2024,1,"Drawing lawan tidak adil, selalu lebih susah, lalu ketika draw di shop, selalu di setting oleh moonton jadi tidak pernah dapat",drawing lawan adil susah draw shop setting moonton
Zikri Farhan,11 Oktober 2024,1,"kebanyakan darksistem solo player ranked dapat tim darksistem mulu malah ketemu tim musuh player asli smua bahkan tim musuh partyan, tolong bikin pertandingan yg adil solo ktmu nya solo juga jngan dikasih darksistem otak batu, niat naikin bintang malah naik turun sma aja stuck di tempat. cape2 aja main ranked. MOONTOD MANG ANJ",kebanyakan darksistem solo player ranked tim darksistem mulu ketemu tim musuh player asli smua tim musuh partyan tolong bikin pertandingan adil solo ktmu solo jngan dikasih darksistem otak batu niat naikin bintang turun sma stuck cape2 main ranked moontod mang anj
Ziyad,14 Desember 2024,3,"Game ini sebenarnya bagus, tetapi banyak hal yang membuat saya kesal terhadap game ini. Player sering dihadapkan dengan lawan yang sulit ketimbang lawan yang mudah/seimbang, bisa dibilang jarang. Itu membuat player kesusahan untuk naik rank, tolong usahakan untuk lebih sering memberi lawan yang seimbang. Terkadang jaringan yang player pakai bagus tetapi ketika di dalam game sering terjadi lag dan jaringan tidak stabil, mohon perbaiki secepatnya.",game bagus kesal game player dihadapkan lawan sulit ketimbang lawan mudah seimbang dibilang jarang player kesusahan rank tolong usahakan lawan seimbang terkadang jaringan player pakai bagus game lag jaringan stabil mohon perbaiki secepatnya
Muhammad Diftah,25 November 2024,1,"Moonton ga adil!!!! Ngasih tim musuh yang kuat, giliran tim ku yang dark sistem, ga adil males main ml lagi, dapet tim dark sistem, capek aku moonton sumpah, bolak balik rank kalah terus!! Di troll terus moonton, plss kasih tim yang kuat biar seimbang sama musuh, buka. Nya tim lawan kuat tim sendiri lemah cuman bisa 1 Hero saja",moonton adil ngasih tim musuh kuat giliran tim ku dark sistem adil males main dapet tim dark sistem capek moonton sumpah bolak rank kalah troll moonton plss tim kuat biar seimbang musuh buka tim lawan kuat tim lemah cuman 1 hero
Chika Cantik,30 November 2024,4,Geme nya bagus saya udah di mitic tapi kok musuh nya di luar prediksi bmkg sebaik nya klo ngasih musuh adil aja musuh nya gk adil terkadang udah di mitic bintang 2 malah gk punya bintang malah baru naik jadi kayak malah galau😭😭,geme bagus udah mitic musuh prediksi bmkg klo ngasih musuh adil musuh adil terkadang udah mitic bintang 2 bintang kayak galau
Abdul jalil GA,24 September 2024,3,"Prrnah main 3 kali di renk, semua Player pada ngleq , lebih parah nya lagi dalam satu game leg nya parah bener sampe 6 kali sama samapi game 3. Signal lancar, voice tetap nyalah, signl aman... Tapi bisa2 ke gitu nglek. Tolong monton di perbaik lgi game nya",prrnah main 3 kali renk player ngleq parah game leg parah bener sampe 6 kali samapi game 3. signal lancar voice nyalah signl aman ... bisa2 gitu nglek tolong monton perbaik lgi game
abdul aziz nusawungu,4 Desember 2024,1,Sebenarnya bagus tapi biasanya ketemu tim jago dan tim yang kurang jago atau LOL plislah kalau main ketemuin tim yang seimbang lah main kalah kalah terus kaya paschol ke kalah terus tolong di perbaiki sistemnya main ketemu dark sistem,bagus ketemu tim jago tim jago lol plislah main ketemuin tim seimbang main kalah kalah kaya paschol kalah tolong perbaiki sistemnya main ketemu dark sistem
"Mob ,",25 Agustus 2024,2,Game nya sih bagus tapi sangat di sayangkan keamanan akun nya tidak terlalu kuat dan sinyal buruk padahal sinyal stabil dan banyak player toxic saya mengasih saran supaya monton bertindak dengan kekuatan jaringan dan keamanan akun nya supaya tidak ada lagi yg kehilangan akun,game sih bagus sayangkan keamanan akun kuat sinyal buruk sinyal stabil player toxic mengasih saran monton bertindak kekuatan jaringan keamanan akun kehilangan akun
DENI R HULU,27 Oktober 2024,1,"Yth. Moonton. Setelah perbaikan yang sempurna, kenapa update kali ini berantakan?. Tolong sesuaikan matchmaking lawan yang setara dan seimbang. Kali ini malah mengecewakan seperti yang lalu berantakan semua. Perhitungan poin protection yang tiba tiba jauh kurang dari hasil akhir. Teman satu tim yang rendah ranked nya di pasangkan dengan ranked yang satu tingkat lebih tinggi dari nya. Bagaimana anda mengatasi hal ini? Tolong jangan membuat kecewa. Terima kasih.",yth moonton perbaikan sempurna update kali berantakan tolong sesuaikan matchmaking lawan setara seimbang kali mengecewakan berantakan perhitungan poin protection hasil teman tim rendah ranked pasangkan ranked tingkat mengatasi tolong kecewa
Achmad Fadhil,13 November 2024,2,Moonton setiap event selalu di kasih tim yang tidak sesuai ekspetasi terkadang mendapatkan tim dari sistem terkadang di kasih lose treak mulu plis moonton benarkan dimana tim aneh berada dan tim yang benar berada 🙏,moonton event tim sesuai ekspetasi terkadang tim sistem terkadang lose treak mulu plis moonton benarkan dimana tim aneh tim
Al Khausar,30 November 2024,2,Untuk moonton yg terhormat tolong jangan hilang kan magic chese yah. Kalo ga saya unistal aplikasinya. Tlong ini peringatan kalo tidak saya panggil satu kampung untuk report aplikasi ini. Terimaksih,moonton terhormat tolong hilang magic chese yah kalo unistal aplikasinya tlong peringatan kalo panggil kampung report aplikasi terimaksih
Jagad Kinasih,6 Desember 2024,5,"Game ini bagus, akunnya gratis developernya keren dah, gua akui keren, cepat tanggap dalam mengatasi kondisi para player di luar sana",game bagus akunnya gratis developernya keren dah gua akui keren cepat tanggap mengatasi kondisi player
Ayah Ganteng,9 Agustus 2024,1,Game nya bagus cuma gak ramah sama yg ramnya pas2an apa lagi yang ramnya 2 sampai 4 GB sering patah patah lag tolong dong di perbaiki lagi terus temennya gak seimbang lol tim bocahnya banyak rangnya udah naik turunnya drastis games lag padahal sinyal bagus,game bagus ramah ramnya pas2an ramnya 2 4 gb patah patah lag tolong perbaiki temennya seimbang lol tim bocahnya rangnya udah turunnya drastis games lag sinyal bagus
Hermawan Wei,21 September 2024,3,Matchmaking nya buruk.. sering gak adil. Dipasangin dengan player yg buruk performanya. Leg ketika fight lawan musuh juga leg sering terjadi di dekat turret musuh. Ketemu lawan yang pake cheat. Kejadian begini paling sering di S33.,matchmaking buruk .. adil dipasangin player buruk performanya leg fight lawan musuh leg turret musuh ketemu lawan pake cheat kejadian s33
iqbaall_z,4 Agustus 2024,1,"Habis update jadi aneh dan banyak bug, sistem pembagian tim juga tidak seimbang, akun saya tiba-tiba kena hack dan bug, dan waktu bermain classic waktu saya ganti Lane tiba-tiba malah heronya otomatis ganti",habis update aneh bug sistem pembagian tim seimbang akun kena hack bug bermain classic ganti lane heronya otomatis ganti
Daeng Topo,1 Desember 2024,1,"Ku sumpahi bangkrut, masaan aku dibilang afk padahal jaringan ku bagus tapi tiba tiba keluar sendiri baru tuh harus login ke game lagi 7 menit cok dan aku turun bintang padahal salah sistem nya sendiri 1. Kusumpahi moonton bangkrut,ciptain game seru yg lain biar moonton bangkrut",ku sumpahi bangkrut masaan dibilang afk jaringan ku bagus tuh login game 7 menit cok turun bintang salah sistem 1. kusumpahi moonton bangkrut ciptain game seru biar moonton bangkrut
Sherafin,8 Agustus 2024,4,"Tolong untuk pihak developer, saya sayang lelah mengalami win loss win loss terus selama sebulan match making yang tidak setara kemampuan player yang sangat beda jauh, tolong di perbaiki 😭cape banget tolong cape!!! Gw hapus juga game nya lama-lama anjir tapi dah buang uang banyak di sana woi lah😭😭",tolong developer sayang lelah mengalami win loss win loss sebulan match making setara kemampuan player beda tolong perbaiki cape banget tolong cape gw hapus game anjir dah buang uang woi
Asriadi Dt Tumanggung,31 Oktober 2024,2,"Tolonglah moonton, jangan skin doang yg dikasi, kami carinya itu game yang adil, kalo gak bisa buat sistem yang adil setidaknya ada misi khusus buat dapat star protection tambahan, jangan skin doang moonton, klo gini jadinya hancur ni game makin sepi ni game kalo dibiarin",tolonglah moonton skin doang dikasi carinya game adil kalo sistem adil misi khusus star protection tambahan skin doang moonton klo gini hancur ni game sepi ni game kalo dibiarin
Erni Sky,20 November 2024,2,"Tolong bngt, buat bnerin jaringan. WiFi full tapi sinyalnya turun naek kek gunung ajaa. Bikin ga nyaman bner buat main, mna dpt tim yg ga imbang lagi. Gumoh ak lama-lama",tolong bngt bnerin jaringan wifi full sinyalnya turun naek kek gunung ajaa bikin nyaman bner main mna dpt tim imbang gumoh ak
Muhammad Zidane,23 Agustus 2024,4,dari segi grafik udah bagus dan event² sekarang juga menarik banget paling cuma dari segi gameplay nya yang kurang menurut ku game play MLBB enggak adil seperti contoh tim ku player yang baru naik ke epic sedang tim lawan mantan glory apakah sepadan jika gameplay nya seperti itu sudah tentu tim saya tidak sanggup melawan musuh yang skill nya jauh di atas tim kita jadi tolong perbaiki keseimbangan match thank you moonton,segi grafik udah bagus event² menarik banget segi gameplay ku game play mlbb adil contoh tim ku player epic tim lawan mantan glory sepadan gameplay tim sanggup melawan musuh skill tim tolong perbaiki keseimbangan match thank you moonton
Scan Zer,16 Desember 2024,5,"Game nya bagus tapi ni ada tapinya kalau jaringan wifi atau kuota bagus kok geme nya tambah lag, jadi mohon montoon bisa di perbaiki ya jaringannya dan timnya pasti dapet nya yang beban",game bagus ni tapinya jaringan wifi kuota bagus geme lag mohon montoon perbaiki jaringannya timnya dapet beban
Raphael Maringka,21 November 2024,1,Tolong perbaiki sistem!! Saya main rank dari pagi sampai malam cuma nambah 1 bintang game ini burukk lebih baik pindah honor of king,tolong perbaiki sistem main rank pagi malam nambah 1 bintang game burukk pindah
Rido Ramadan,13 November 2024,5,"Nonton aku mohon berilah kemenangan kepada akun ini "" felin do "" di karenakan ga pernah menang, menang 1 kali kalah nya lebih dari 3 kali. Bukan nya saya yang bot tpi tim nya yang drak sistem ga ngerti cara main saya mohon. Buat fitur tidak naik rank kalo belum ngerti ngerti cara main agar tidak ada player player yang dongo atau drak sistem RI rank tinggi. Dan berikan lah kami lawan yang seimbang misalanya kalo bot lawan bot. Pro lawan pro agar sesama tim atau lawan bisa memahami cara bermain.",nonton mohon berilah kemenangan akun felin do karenakan menang menang 1 kali kalah 3 kali bot tpi tim drak sistem ngerti main mohon fitur rank kalo ngerti ngerti main player player dongo drak sistem ri rank lawan seimbang misalanya kalo bot lawan bot pro lawan pro tim lawan memahami bermain
Khalaf Ghaisan al,25 November 2024,1,"tolong perbaiki moonton saya lagi main padahal jaringannya kenceng, tiba-tiba sinyal merah ga bisa gerak teruss ada tulisan menghubungkan ulang,pas mati baru hijau lagi kan bikin kesel ya?!",tolong perbaiki moonton main jaringannya kenceng sinyal merah gerak teruss tulisan menghubungkan ulang pas mati hijau bikin kesel
Bone Aru,21 November 2024,1,"Monton harusnya liat game nyaa knp dark sistem nyaa terlalu banyak,, liat in game nyaa dong perbaiki lagi in gamenya selalu ketemu tim dark sistem, gimana game nyaa mau di minati bnyk orang kalau di pertandingan selalu dapat tim dark sistem,, tolong di perbaiki lg",monton liat game nyaa knp dark sistem nyaa liat in game nyaa perbaiki in gamenya ketemu tim dark sistem gimana game nyaa minati bnyk orang pertandingan tim dark sistem tolong perbaiki lg
Tiara Putri Leilani,8 November 2024,5,Wow aplikasinya bagus saya menyukainya tapi kalo beli skin pake berlian kalo mau dapetin berlian susah tapi mainannya tetep bagus kok tapi tolong bug nya di perbaiki lagi,wow aplikasinya bagus menyukainya kalo beli skin pake berlian kalo dapetin berlian susah mainannya tetep bagus tolong bug perbaiki
Ihsan San,5 Desember 2024,5,Sudah cukup bagus sih tapi ada satu kendala data saya ping 28 pas di game tiba² pas war ping nya langsung berubah menjadi 299 tolong di perbaiki,bagus sih kendala data ping 28 pas game tiba² pas war ping langsung berubah 299 tolong perbaiki
Sun shine,15 Agustus 2024,3,Gamenya banyak bug tiba² gak bisa main/masuk wekly nya gak bisa diambil dan bamyak bug lainya tolong diperbaiki moonton sama satu hal lagi tolong musnahkan dargasistem Advancerfer pun ada bug moonton² Bikin game yang bener napa,gamenya bug tiba² main masuk wekly diambil bamyak bug lainya tolong diperbaiki moonton tolong musnahkan dargasistem advancerfer bug moonton² bikin game bener napa
husna,18 Desember 2024,2,"aneh gua losetreack trus,ga adil masak tim gua bot musuh nya jago,kalo lose 2 kali mah gapapa ini udah ada 10 lebih gua losetreack entah itu rank/cl/brawl lose trus,MOHON YANG ADIL YA MOONTON+kalo ngasih MUSUH ITU YANG SETARA DENGAN TIM YAA bisa²jadi odgj gua grgr main ni game karena stres😊😊",aneh gua losetreack trus adil masak tim gua bot musuh jago kalo lose 2 kali mah gapapa udah 10 gua losetreack rank cl brawl lose trus mohon adil moonton kalo ngasih musuh setara tim yaa bisa²jadi odgj gua grgr main ni game stres
Slow,17 Oktober 2024,3,"Bagusin dong sistem matchmakingnya bikin emosi😒 main rank ketemu Mulu team yang gak bisa main di rank [EPIC], mau naik ke legend susah banget. Menang mvp kalah mvp gitu aja terus gw Mulu yg gendong. Udah direport tetap aja tidak di tanggapin. Kalau masalah skin aja cepat banget mikirinnya biar cuan. MLBB sekarang bener-bener udah gak ada yg paham apa itu rotasi, udah kayak main brawl. Saya Kagak masalah musuhnya kuat yg penting teamnya ngerti main itu aja.",bagusin sistem matchmakingnya bikin emosi main rank ketemu mulu team main rank epic susah banget menang mvp kalah mvp gitu gw mulu gendong udah direport tanggapin skin cepat banget mikirinnya biar cuan mlbb bener bener udah paham rotasi udah kayak main brawl kagak musuhnya kuat teamnya ngerti main
Pengguna Google,1 Desember 2024,1,"Dear, moonton Saya keluh kesah dengannya dark sistem saat ini, saya mendapatkan win abis itu lose setiap waktu dan itu juga perubahannya sama aja dapat tim kurang baik dan musuh terlalu jago. Tolong tindaklanjuti masalah ini supaya player solo tidak kesal saat bermain game ini. Dark sistem mulu. Makasih.",dear moonton keluh kesah dengannya dark sistem win abis lose perubahannya tim musuh jago tolong tindaklanjuti player solo kesal bermain game dark sistem mulu makasih
Paisal Pahri,7 Desember 2024,3,Gamenya gak jelas sekarang udah diupdate malah update lagi gak jelas kadang kadang suka lag... pokoknya buruk banget sumpah game ini sekarang!!! Kecewa banget,gamenya udah diupdate update kadang kadang suka lag ... pokoknya buruk banget sumpah game kecewa banget
Komed edi Edi,21 Oktober 2024,1,"Game ini sampah tim ku kayak bot musuhnya itu mitik immortal kenapa moonton kenapa dark sistem udah kesel main ranked kalah Mulu classic ketemu preman classic 😡🤬😠🤬😡🤬dan sinyal nya bagus lancar masuk sinyal nya jelek bet,banyak sih skin gratis tapi perbaiki game lu dulu",game sampah tim ku kayak bot musuhnya mitik immortal moonton dark sistem udah kesel main ranked kalah mulu classic ketemu preman classic sinyal bagus lancar masuk sinyal jelek bet sih skin gratis perbaiki game lu
Lanny Lanny,10 November 2024,1,"Kenapa di mobile legends tidak ada tanda paus kalau berhenti sebentar soal kalau tiba-tiba mau masuk WC atau tiba-tiba di panggil sama orang tidak bisa paus, jelek sekali ini permainan mobile legends masa harus tunggu selesai baru bisa masuk WC. Minta tolong di perbaiki aplikasi game mobile legend",tanda paus berhenti sebentar masuk wc panggil orang paus jelek permainan tunggu selesai masuk wc tolong perbaiki aplikasi game
Maful Zea,17 November 2024,1,Tolong ya monton di perbaiki setiap main saya dapet timnya yg kyk komputer kadang yg paling aneh tuh ada yg pake jangler tapi di roam tolong lah ya saya udah mvp di tim yg kalah ada kyknya 50 x mah tolong di perbaiki renk saya winret ancur semua karna km nyariin tim yg ga masuk akal,tolong monton perbaiki main dapet timnya kyk komputer kadang aneh tuh pake jangler roam tolong udah mvp tim kalah kyknya 50 x mah tolong perbaiki renk winret ancur karna km nyariin tim masuk akal
Enwi,8 November 2024,5,"Pusat bermain Meta Mobile Legends sendiri adalah strategi atau metode yang digunakan untuk memenangkan pertandingan. Meta ini dapat berubah-ubah seiring dengan rilisnya hero baru, perubahan pada skill hero, atau perubahan pada item-item yang tersedia. Hero META Mobile Legends biasanya menjadi pilihan favorit para pemain profesional.",pusat bermain meta strategi metode memenangkan pertandingan meta berubah ubah seiring rilisnya hero perubahan skill hero perubahan item item tersedia hero meta pilihan favorit pemain profesional
Akbar Rizkoni,13 Agustus 2024,1,"Kok kayak gini sekarang ml, gak kayak dulu, skarang suka sering ngelag menyebabkan bug, dan kekalahan sering, tolong di perbaiki lagi, kasihan bagi palayer"" monton yg sering begadang tapi dapatnya cuma kekalahan😵‍💫",kayak gini kayak skarang suka ngelag menyebabkan bug kekalahan tolong perbaiki kasihan palayer monton begadang dapatnya kekalahan
Furqon Fadillah,5 November 2024,1,"Kalau kasih tim bener dikit napa mangkannya banyak yang protes,ada yang bilang dark sistem, perumpamaan nihh ya tim ku top lokal musuh nya kelompok req ya logis dikit lah masak tim ampas musuh setingkat rrq kan jadi sulit untuk menang kalau gini terus pasti banyak yang akan pindah, saya minta tolong ada beberapa player yang selalau dapat musuh yang sama kayak pertandingan sebelumnya nah itu mending di urus aja, kalau sekali dia kali itu gpp nah ini berkali kali",tim bener dikit napa mangkannya protes bilang dark sistem perumpamaan nihh tim ku top lokal musuh kelompok req logis dikit masak tim ampas musuh setingkat rrq sulit menang gini pindah tolong player selalau musuh kayak pertandingan mending urus kali gpp berkali kali
Muhammad Sultoni,6 September 2024,1,"Mending benerin lagi deh game nya Mana banyak bug gajelas, ping bagus gabisa dipencet skilnya.. Dan juga kasi teman sama lawan yang sepadan masa musuhnya jago semua Temenku malah kek ladusing.. Tolong yaa dibenerin lagi gamenya.. MENDING MAIN honor of Kings LEBIH BAGUS GAMENYA",mending benerin deh game bug gajelas ping bagus gabisa dipencet skilnya .. kasi teman lawan sepadan musuhnya jago temenku kek ladusing .. tolong yaa dibenerin gamenya .. mending main bagus gamenya
Arya Teguh Julianto,11 November 2024,1,"game sampah! coba dibuat sistem pemilihan role, jangan yang aneh aneh! udah milih role maksa/ nimpa, cara mainnya juga ngasal, hapus aja mendingan HOK. main di ML setim kalau gak bisa main masih wajar, tapi masalahnya ini banyak yang ngetrol mana sistem report nya kayak cuman pajangan, gak ngerti yang mana yang orang butuhin, coba sekali kali liat sistem report di game HOK, sistemnya bakal ngedeteksi gameplay baru di kasih peringatan, beda jauh sama di ML, kayak sistem nerawang! cuman saran!",game sampah coba sistem pemilihan role aneh aneh udah milih role maksa nimpa mainnya ngasal hapus mendingan hok main setim main wajar ngetrol sistem report kayak cuman pajangan ngerti orang butuhin coba kali liat sistem report game hok sistemnya ngedeteksi gameplay peringatan beda kayak sistem nerawang cuman saran
Rifky NA,6 Desember 2024,4,"Bagus sih gamenya tpi banyak bngt player yg suka ngetroll, trus ilangin dark sistem juga lah yaa ,dan semoga kedepannya sering bagi2 skin gratis heheee",bagus sih gamenya tpi bngt player suka ngetroll trus ilangin dark sistem yaa semoga kedepannya bagi2 skin gratis heheee
Nurdin Pratama,21 November 2024,1,"Tolong bantu saya mengapa Hero yang sudah saya beli dikunci kembali dan harus dibeli ulang. Awalnya saya cuma sadar 1 Hero ( vale ) yang terkunci kembali namun saat saya akan membeli Hero, saya melihat banyak Hero yang sudah dibeli harus dibeli lagi.",tolong bantu hero beli dikunci dibeli ulang sadar 1 hero vale terkunci membeli hero hero dibeli dibeli
Vellayy,7 Desember 2024,5,"gem bagus ini patut di kasih rating 5 tapi akhir akhir ini aku win lose muntun pls kasih aku tim yang bagus dan lawan yang nub, padahal aku mau glory muntun kalau aku sampai glory bakal ak kasih rating 100000 muntun!!!",gem bagus patut rating 5 win lose muntun pls tim bagus lawan nub glory muntun glory ak rating 100000 muntun
Javas Abinaya,13 Oktober 2024,1,"Ini adalah game yang jelek dikarenakan sering kali saat bermain rank tim saya yang ngeleg sedangkan musuh tidak terlihat ngeleg sama sekali,saya kasih bintang satu karena saat bermain saya ngeleg terus saya sudah muak karena ha1l ini dulu saya sangat menyukai game ini tetapi saat ngeleg saya sudah tidak suka game ini lagi mohon bug atau ngeleg ini di perbaiki lagi",game jelek kali bermain rank tim ngeleg musuh ngeleg bintang bermain ngeleg muak ha1l menyukai game ngeleg suka game mohon bug ngeleg perbaiki
Akbar GAMING,10 November 2024,1,"Ini game di buat untuk orang ngehibur diri tp main malah makin stres, match making yg ga stabil selalu ketemu orang yg role nya sama, terus dia maksa eh taunya cupu, kalau ada bintang 0 gua kasih bintang 0, ya kali udh susah susah main eh di kasih musuh jago tp team feeder yg gatau skil hero yg dia mainin",game orang ngehibur tp main stres match making stabil ketemu orang role maksa eh taunya cupu bintang 0 gua bintang 0 kali udh susah susah main eh musuh jago tp team feeder gatau skil hero mainin
Dunz Officiall acc,18 Desember 2024,3,"matchmaking tidak adi banyak player feeder l , event kapitalis ngertilah kalian sebegara kapitalisnya game ini , jaringan tidak stabil padahal jaringan saya bagus , framedrop padahal device saya entry level , update semakin memburuk , Hero Hero yang tidak balance , buff Hero dan nerf Hero sesuai datangnya skin baru supaya laku terjual ( kapitalisme). kami tidak butuh skin skin yang anda buat , kami hanya mau matchmaking yang adil , server dengan jaringan baik , serta Hero Hero yang balance .",matchmaking adi player feeder l event kapitalis ngertilah sebegara kapitalisnya game jaringan stabil jaringan bagus framedrop device entry level update memburuk hero hero balance buff hero nerf hero sesuai datangnya skin laku terjual kapitalisme butuh skin skin matchmaking adil server jaringan hero hero balance
Davi Ramdhani,9 September 2024,1,"Sistem matching yang makin lama makin ancur, selalu dikasih team yang idiot, suka feeder nyusain. Mending benerin sistem matching dah dari pada event skin gratis yang cuman nyusain doang!!! Gua akan terus sampai kapanpun kasih rating ini game b1!! Game sampah ngebuat player jadi sengsara doang gara-gara sistem matching ni game yang gak ngotak.",sistem matching ancur dikasih team idiot suka feeder nyusain mending benerin sistem matching dah event skin gratis cuman nyusain doang gua rating game b1 game sampah ngebuat player sengsara doang gara gara sistem matching ni game ngotak
